text_id,kendall_tau,p_value
CT0001,-0.3333333333333334,0.75
CT0002,0.6666666666666669,0.3333333333333333
CT0003,0.3333333333333334,0.75
CT0004,0.6666666666666669,0.3333333333333333
CT0005,0.3333333333333334,0.75
CT0006,0.0,1.0
CT0007,0.3333333333333334,0.75
CT0008,0.6666666666666669,0.3333333333333333
CT0009,0.0,1.0
CT0010,0.0,1.0
CT0011,0.0,1.0
CT0012,-0.6666666666666669,0.3333333333333333
CT0013,-0.3333333333333334,0.75
CT0014,1.0,0.08333333333333333
CT0015,0.3333333333333334,0.75
CT0016,1.0,0.08333333333333333
CT0017,0.6666666666666669,0.3333333333333333
CT0018,0.6666666666666669,0.3333333333333333
CT0019,0.6666666666666669,0.3333333333333333
CT0020,-0.3333333333333334,0.75
CT0021,-0.6666666666666669,0.3333333333333333
CT0022,0.3333333333333334,0.75
CT0023,0.3333333333333334,0.75
CT0024,0.3333333333333334,0.75
CT0025,0.3333333333333334,0.75
CT0026,1.0,0.08333333333333333
CT0027,0.3333333333333334,0.75
CT0028,0.3333333333333334,0.75
CT0029,0.6666666666666669,0.3333333333333333
CT0030,0.0,1.0
CT0031,0.6666666666666669,0.3333333333333333
CT0032,0.6666666666666669,0.3333333333333333
CT0033,0.6666666666666669,0.3333333333333333
CT0034,0.6666666666666669,0.3333333333333333
CT0035,-1.0,0.08333333333333333
CT0036,0.3333333333333334,0.75
CT0037,0.0,1.0
CT0038,0.6666666666666669,0.3333333333333333
CT0039,0.3333333333333334,0.75
CT0040,0.6666666666666669,0.3333333333333333
CT0041,-0.3333333333333334,0.75
CT0042,0.3333333333333334,0.75
CT0043,0.6666666666666669,0.3333333333333333
CT0044,0.3333333333333334,0.75
CT0045,0.3333333333333334,0.75
CT0046,0.6666666666666669,0.3333333333333333
CT0047,0.0,1.0
CT0048,0.6666666666666669,0.3333333333333333
CT0049,0.6666666666666669,0.3333333333333333
CT0050,0.3333333333333334,0.75
CT0051,-0.3333333333333334,0.75
CT0052,0.6666666666666669,0.3333333333333333
CT0053,1.0,0.08333333333333333
CT0054,0.3333333333333334,0.75
CT0055,0.3333333333333334,0.75
CT0056,0.0,1.0
CT0057,0.0,1.0
CT0058,-0.3333333333333334,0.75
CT0059,0.3333333333333334,0.75
CT0060,0.3333333333333334,0.75
CT0061,0.6666666666666669,0.3333333333333333
CT0062,0.0,1.0
CT0063,0.0,1.0
CT0064,0.0,1.0
CT0065,0.6666666666666669,0.3333333333333333
CT0066,0.6666666666666669,0.3333333333333333
CT0067,0.0,1.0
CT0068,0.0,1.0
CT0069,-0.6666666666666669,0.3333333333333333
CT0070,1.0,0.08333333333333333
CT0071,-0.6666666666666669,0.3333333333333333
CT0072,0.0,1.0
CT0073,-0.3333333333333334,0.75
CT0074,0.3333333333333334,0.75
CT0075,0.3333333333333334,0.75
CT0076,-0.6666666666666669,0.3333333333333333
CT0077,-0.3333333333333334,0.75
CT0078,0.0,1.0
CT0079,0.6666666666666669,0.3333333333333333
CT0080,-0.3333333333333334,0.75
CT0081,-0.6666666666666669,0.3333333333333333
CT0082,-0.6666666666666669,0.3333333333333333
CT0083,0.0,1.0
CT0084,0.6666666666666669,0.3333333333333333
CT0085,0.6666666666666669,0.3333333333333333
CT0086,0.3333333333333334,0.75
CT0087,-0.6666666666666669,0.3333333333333333
CT0088,-0.3333333333333334,0.75
CT0089,-0.3333333333333334,0.75
CT0090,0.0,1.0
CT0091,0.3333333333333334,0.75
CT0092,0.6666666666666669,0.3333333333333333
CT0093,-0.3333333333333334,0.75
CT0094,0.3333333333333334,0.75
CT0095,-0.3333333333333334,0.75
CT0096,0.3333333333333334,0.75
CT0097,0.0,1.0
CT0098,0.3333333333333334,0.75
CT0099,-0.6666666666666669,0.3333333333333333
CT0100,-0.3333333333333334,0.75
CT0101,0.3333333333333334,0.75
CT0102,0.0,1.0
CT0103,1.0,0.08333333333333333
CT0104,0.6666666666666669,0.3333333333333333
CT0105,0.3333333333333334,0.75
CT0106,-0.3333333333333334,0.75
CT0107,0.3333333333333334,0.75
CT0108,-0.6666666666666669,0.3333333333333333
CT0109,-1.0,0.08333333333333333
CT0110,0.0,1.0
